T,Salt,Cs,fs,Cp,Gamma,Eta,Eta_pred,Eta_abs_err
25,NaCl,1,0.5,0.005,21.5,0.95308,0.9771018533757694,0.024021853375769342
25,NaCl,1,0.5,0.005,25.6,0.97035,0.984003549997754,0.013653549997753922
25,NaCl,1,0.5,0.005,30.3,0.98522,0.9957772052718662,0.01055720527186621
25,NaCl,1,0.5,0.005,35.9,0.98717,0.9952465862405399,0.008076586240539863
25,NaCl,1,0.5,0.005,42.6,1.0018,1.0032587006574916,0.0014587006574915407
25,NaCl,1,0.5,0.005,50.5,1.0155,1.019582671741885,0.0040826717418849245
25,NaCl,1,0.5,0.005,59.9,1.0502,1.0506720232710232,0.00047202327102313646
25,NaCl,1,0.5,0.005,71.1,1.0696,1.0653812824153648,0.004218717584635323
25,NaCl,1,0.5,0.005,84.3,1.0375,1.0611604700559534,0.023660470055953287
25,NaCl,1,0.5,0.005,100.0,1.0828,1.096531379788993,0.013731379788993081
25,NaCl,1,0.5,0.01,0.0464,5.6821,5.397451078427358,0.284648921572642
25,NaCl,1,0.5,0.01,0.055,7.4675,5.123776473697726,2.3437235263022744
25,NaCl,1,0.5,0.01,0.0653,5.4186,3.6512301964123957,1.767369803587604
25,NaCl,1,0.5,0.01,0.0774,0.93827,1.388294935146804,0.45002493514680386
25,NaCl,1,0.5,0.01,0.0918,2.5813,2.2473008048525367,0.33399919514746346
25,NaCl,1,0.5,0.01,0.109,1.7675,1.8356350510485384,0.06813505104853834
25,NaCl,1,0.5,0.01,0.129,1.7021,1.808589967794114,0.10648996779411402
25,NaCl,1,0.5,0.01,0.153,3.5201,2.7452178352972165,0.7748821647027833
25,NaCl,1,0.5,0.01,0.182,2.6163,2.0912823056113856,0.5250176943886142
25,NaCl,1,0.5,0.01,0.215,2.1932,1.9317856247093563,0.2614143752906437
25,NaCl,1,0.5,0.01,0.256,1.0633,1.271590069068593,0.20829006906859315
25,NaCl,1,0.5,0.01,0.505,1.0415,1.1602924859197565,0.11879248591975644
25,NaCl,1,0.5,0.01,0.599,1.0879,1.1626787264524803,0.07477872645248018
25,NaCl,1,0.5,0.01,0.711,1.3461,1.1744580244234688,0.17164197557653127
25,NaCl,1,0.5,0.01,0.843,0.89241,0.9289660701329789,0.0365560701329789
25,NaCl,1,0.5,0.01,1.0,0.64928,0.7493017578623515,0.10002175786235157
25,NaCl,1,0.5,0.01,1.19,0.96657,0.9496391025781602,0.01693089742183984
